,,,"Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (age-standardized estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)","Insufficiently active (crude estimate)"
"Country","Year","Age Group","Both sexes","Male","Female","Both sexes","Male","Female"
"Afghanistan","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Albania","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Algeria","2010","18+  years","34.4 [30.5-38.5]","27.7 [22.3-33.6]","41.2 [35.7-46.9]","32.5 [28.6-36.6]","25.8 [20.4-31.7]","39.4 [33.9-45.1]"
"Andorra","2010","18+  years","26.1 [11.6-66.5]","22.4 [6.9-60.3]","29.7 [8.3-66.1]","30.9 [15.6-72.6]","27.2 [8.9-65.3]","34.7 [10.2-69.8]"
"Angola","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Antigua and Barbuda","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Argentina","2010","18+  years","39.2 [13.5-76.6]","35.8 [13.2-76.1]","42.7 [14.7-78.5]","40.1 [13.9-77]","35.7 [13.2-76]","44.1 [15.6-79.3]"
"Armenia","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Australia","2010","18+  years","23.8 [6.4-58.9]","20.1 [5.9-55.8]","27.6 [7.5-63.2]","25.8 [7.1-60.8]","21.5 [6.4-57.5]","29.9 [8.3-65.1]"
"Austria","2010","18+  years","23.8 [6.3-58.1]","19.2 [5.4-53.4]","28.5 [7.8-63.6]","26.4 [7-61]","21.1 [6-56.3]","31.3 [8.7-66.5]"
"Azerbaijan","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Bahamas","2010","18+  years","43 [36.5-49.6]","29.6 [21-39.3]","56.3 [47.3-65.2]","43 [36.5-49.6]","28.5 [19.9-38.2]","56.5 [47.4-65.4]"
"Bahrain","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Bangladesh","2010","18+  years","26.8 [25.9-27.8]","10.2 [9.4-11.4]","43.4 [41.9-45.3]","25.1 [24.2-26.1]","9.2 [8.4-10.4]","41.3 [39.8-43.1]"
"Barbados","2010","18+  years","37.6 [33.6-41.7]","29.3 [23-36]","45.9 [40.7-51.1]","38.7 [34.7-42.8]","30 [23.7-36.7]","47.2 [42-52.4]"
"Belarus","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Belgium","2010","18+  years","33.2 [10.6-70.5]","28.3 [9.6-67.6]","38.2 [12.4-74.5]","37.4 [12.6-73.6]","31.5 [11.1-70.6]","42.9 [15.1-77.6]"
"Belize","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Benin","2010","18+  years","6.9 [5.6-8.6]","5.7 [4.2-7.8]","8.1 [5.9-11]","5.4 [4-7.1]","4.3 [2.7-6.3]","6.6 [4.3-9.5]"
"Bhutan","2010","18+  years","8.7 [7.5-10.2]","5.7 [4.3-7.4]","11.8 [9.7-14.2]","7.5 [6.3-9]","4.8 [3.4-6.5]","10.9 [8.9-13.4]"
"Bolivia (Plurinational State of)","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Bosnia and Herzegovina","2010","18+  years","18.1 [4.8-48.5]","15.8 [4.3-45.9]","20.4 [5.2-49.9]","20.6 [5.7-51.8]","17 [4.6-47.8]","24 [6.5-54.3]"
"Botswana","2010","18+  years","27.2 [19.6-36]","21.7 [12.6-33.9]","32.6 [21.3-46]","24.5 [16.9-33.3]","18 [8.9-30.2]","31 [19.6-44.3]"
"Brazil","2010","18+  years","27.8 [8-63.9]","25.9 [8.2-64.6]","29.7 [8.4-65.4]","27.2 [7.8-63.3]","24.9 [7.8-63.6]","29.4 [8.3-65.1]"
"Brunei Darussalam","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Bulgaria","2010","18+  years","21 [5.2-54.3]","18.2 [4.9-53.5]","23.8 [6-57]","23 [5.7-56.7]","19 [5.1-54.6]","26.7 [6.8-60.6]"
"Burkina Faso","2010","18+  years","18.4 [16.1-21.1]","15.9 [12.8-19.5]","20.9 [17.4-25]","16.4 [14-19]","13.5 [10.4-17.1]","19.1 [15.5-23.1]"
"Burundi","2010","18+  years","No data","No data","No data","No data","No data","No data"
"Côte d'Ivoire","2010","18+  years","22.6 [6-56.3]","18 [4.9-51.1]","27.1 [7.1-62.2]","20.4 [5.2-54.1]","16 [4.3-48.5]","25.1 [6.5-60.9]"
"Cabo Verde","2010","18+  years","19.6 [13.5-27.4]","13.5 [7.8-21.8]","25.7 [12.3-44.6]","18.5 [12.3-26.2]","11.7 [6-20]","25 [11.6-44]"
"Cambodia","2010","18+  years","10.3 [9.3-11.4]","9.7 [7.9-11.9]","10.9 [9.7-12.3]","9.7 [8.7-10.8]","8.7 [6.9-10.9]","10.6 [9.3-11.9]"
