,Country,Year,Age Group,Both sexes,Male,Female,Both sexes.1,Male.1,Female.1
2,Algeria,2010,18+  years,34.4,27.7,41.2,32.5 [28.6-36.6],25.8 [20.4-31.7],39.4 [33.9-45.1]
3,Andorra,2010,18+  years,26.1,22.4,29.7,30.9 [15.6-72.6],27.2 [8.9-65.3],34.7 [10.2-69.8]
6,Argentina,2010,18+  years,39.2,35.8,42.7,40.1 [13.9-77],35.7 [13.2-76],44.1 [15.6-79.3]
8,Australia,2010,18+  years,23.8,20.1,27.6,25.8 [7.1-60.8],21.5 [6.4-57.5],29.9 [8.3-65.1]
9,Austria,2010,18+  years,23.8,19.2,28.5,26.4 [7-61],21.1 [6-56.3],31.3 [8.7-66.5]
11,Bahamas,2010,18+  years,43.0,29.6,56.3,43 [36.5-49.6],28.5 [19.9-38.2],56.5 [47.4-65.4]
13,Bangladesh,2010,18+  years,26.8,10.2,43.4,25.1 [24.2-26.1],9.2 [8.4-10.4],41.3 [39.8-43.1]
14,Barbados,2010,18+  years,37.6,29.3,45.9,38.7 [34.7-42.8],30 [23.7-36.7],47.2 [42-52.4]
16,Belgium,2010,18+  years,33.2,28.3,38.2,37.4 [12.6-73.6],31.5 [11.1-70.6],42.9 [15.1-77.6]
18,Benin,2010,18+  years,6.9,5.7,8.1,5.4 [4-7.1],4.3 [2.7-6.3],6.6 [4.3-9.5]
19,Bhutan,2010,18+  years,8.7,5.7,11.8,7.5 [6.3-9],4.8 [3.4-6.5],10.9 [8.9-13.4]
21,Bosnia and Herzegovina,2010,18+  years,18.1,15.8,20.4,20.6 [5.7-51.8],17 [4.6-47.8],24 [6.5-54.3]
22,Botswana,2010,18+  years,27.2,21.7,32.6,24.5 [16.9-33.3],18 [8.9-30.2],31 [19.6-44.3]
23,Brazil,2010,18+  years,27.8,25.9,29.7,27.2 [7.8-63.3],24.9 [7.8-63.6],29.4 [8.3-65.1]
25,Bulgaria,2010,18+  years,21.0,18.2,23.8,23 [5.7-56.7],19 [5.1-54.6],26.7 [6.8-60.6]
26,Burkina Faso,2010,18+  years,18.4,15.9,20.9,16.4 [14-19],13.5 [10.4-17.1],19.1 [15.5-23.1]
28,Côte d'Ivoire,2010,18+  years,22.6,18.0,27.1,20.4 [5.2-54.1],16 [4.3-48.5],25.1 [6.5-60.9]
29,Cabo Verde,2010,18+  years,19.6,13.5,25.7,18.5 [12.3-26.2],11.7 [6-20],25 [11.6-44]
30,Cambodia,2010,18+  years,10.3,9.7,10.9,9.7 [8.7-10.8],8.7 [6.9-10.9],10.6 [9.3-11.9]
31,Cameroon,2010,18+  years,30.7,22.8,38.7,29.3 [7.4-57.3],20.9 [5.1-46.7],37.7 [10-64.9]
32,Canada,2010,18+  years,23.2,20.3,26.2,25.9 [6.9-59.6],22.2 [6.5-57.9],29.4 [7.9-63.2]
33,Central African Republic,2010,18+  years,12.0,10.8,13.3,10.5 [1.6-20.9],8.9 [1.5-19.9],12 [1.9-23.6]
34,Chad,2010,18+  years,24.6,21.7,27.4,22 [5.5-55.6],19.2 [5.3-54.5],24.8 [6.3-59.1]
35,Chile,2010,18+  years,21.3,17.8,24.9,21.6 [18.7-24.7],17.6 [13.8-21.9],25.5 [21.3-30.1]
36,China,2010,18+  years,24.1,22.5,25.6,23.8 [21.5-26.3],22.2 [18.9-25.8],25.4 [22.2-29]
37,Colombia,2010,18+  years,63.6,54.3,72.9,63.5 [58.2-68.6],53.4 [45.6-61.1],72.9 [65.7-79.3]
38,Comoros,2010,18+  years,14.2,8.5,20.0,12.5 [11.4-13.7],6.7 [4.8-9],18.4 [16.9-19.9]
39,Congo,2010,18+  years,25.4,21.2,29.6,22.4 [5.9-56],18.6 [5.3-53.6],26.1 [7.1-60.1]
40,Cook Islands,2010,18+  years,65.0,62.7,67.3,65.5 [60.9-69.9],63.3 [55.5-70.6],67.7 [61.8-73.2]
42,Croatia,2010,18+  years,16.2,15.0,17.4,19.8 [4.9-48.3],16.8 [4.5-48],22.5 [5.6-51.3]
44,Cyprus,2010,18+  years,34.7,28.9,40.4,35.3 [11-72.5],29.3 [9.6-68.6],41.5 [13.6-77.3]
45,Czechia,2010,18+  years,23.8,22.7,24.8,26.2 [21-32.1],24.1 [17.4-32],28.2 [20.3-37.3]
47,Democratic Republic of the Congo,2010,18+  years,26.0,23.1,29.0,25 [19.7-30.9],21.8 [14.4-30.6],28.1 [20.8-36.3]
48,Denmark,2010,18+  years,24.3,22.4,26.2,26.6 [7.1-61.7],24.3 [7.2-62],28.9 [7.7-63.7]
50,Dominica,2010,18+  years,21.8,13.3,30.2,26.2 [23.4-29.3],17.9 [14.5-22.2],34.6 [30.5-39]
